style,progression,lift_vs_avg,share_in_style
jazz,bV°->IVm,1.51,0.0013
jazz,V->bVI°,1.51,0.0008
jazz,bVI°->VIm,1.51,0.0007
jazz,bII->V,1.51,0.0007
jazz,VII->III°,1.51,0.0007
jazz,III->bIIm,1.51,0.0007
jazz,II->bIII°,1.51,0.0007
jazz,bV->VIIm,1.51,0.0007
pop,IV->IVs,3.23,0.0019
pop,VIm->Vs,3.22,0.0018
pop,V->Vs,3.05,0.0028
pop,Im->Is,3.0,0.0007
pop,Vs->IV,3.0,0.0022
pop,IVs->IV,2.96,0.0019
pop,bVII->IV,2.96,0.0108
pop,II->Im,2.94,0.0006
blues,I->bIII,20.38,0.0338
blues,bIII->IV,12.4,0.0328
blues,V->IV,9.08,0.0771
blues,IV->I,8.44,0.2372
blues,VI->bVI,8.25,0.0145
blues,I->V,7.35,0.134
blues,bVII->VI,4.36,0.0154
blues,I->IV,3.08,0.1379
country,VI->VII,22.7,0.01
country,V->VI,10.04,0.0138
country,I->Is,7.93,0.0105
country,I->V,6.3,0.1148
country,VII->I,6.13,0.0105
country,bII->bV,5.74,0.0086
country,IV->V,5.31,0.0634
country,Is->I,4.53,0.0105
